p_val,q_nodos,q_links,puntaje_uno,puntaje_testigo
0.85,100,1,0.01,0.01
0.85,100,2,0.018344075359445,0.009915716410511
0.85,100,3,0.026548672566372,0.009832841691249
0.85,100,4,0.034617259873233,0.009751340809361
0.85,100,5,0.042553191489362,0.009671179883946
0.85,100,6,0.050359712230216,0.009592326139089
0.85,100,7,0.058039961941009,0.009514747859182
0.85,100,8,0.065596979707409,0.00943841434639
0.85,100,9,0.073033707865169,0.00936329588015
0.85,100,10,0.080352995819786,0.009289363678588
0.85,100,11,0.087557603686636,0.009216589861751
0.85,100,12,0.094650205761317,0.009144947416552
0.85,100,13,0.101633393829401,0.009074410163339
0.85,100,14,0.108509680324178,0.009004952723998
0.85,100,15,0.115281501340483,0.00893655049151
0.85,100,16,0.121951219512195,0.008869179600887
0.85,100,17,0.128521126760563,0.008802816901408
0.85,100,18,0.134993446920052,0.0087374399301
0.85,100,19,0.141370338248049,0.008673026886383
0.85,100,20,0.147653895824365,0.008609556607835
0.85,100,21,0.153846153846154,0.008547008547009
0.85,100,22,0.159949087823504,0.008485362749258
0.85,100,23,0.165964616680708,0.008424599831508
0.85,100,24,0.17189460476788,0.008364700961941
0.85,100,25,0.177740863787375,0.008305647840532
0.85,100,26,0.183505154639175,0.008247422680412
0.85,100,27,0.189189189189189,0.008190008190008
0.85,100,28,0.194794631964213,0.008133387555917
0.85,100,29,0.20032310177706,0.008077544426494
0.85,100,30,0.205776173285199,0.008022462896109
0.85,100,31,0.211155378486056,0.00796812749004
0.85,100,32,0.216462208151959,0.00791452314998
0.85,100,33,0.221698113207547,0.007861635220126
0.85,100,34,0.226864506052323,0.007809449433815
0.85,100,35,0.231962761830877,0.007757951900698
0.85,100,36,0.236994219653179,0.007707129094412
0.85,100,37,0.241960183767228,0.007656967840735
0.85,100,38,0.246861924686193,0.0076074553062
0.85,100,39,0.251700680272109,0.00755857898715
0.85,100,40,0.25647765677807,0.007510326699211
0.85,100,41,0.261194029850746,0.007462686567164
0.85,100,42,0.265850945494995,0.007415647015202
0.85,100,43,0.270449521002211,0.007369196757553
0.85,100,44,0.274990845844013,0.007323324789454
0.85,100,45,0.279475982532751,0.007278020378457
0.85,100,46,0.283905967450271,0.007233273056058
0.85,100,47,0.288281811646298,0.007189072609633
0.85,100,48,0.292604501607717,0.00714540907467
0.85,100,49,0.296875,0.007102272727273
0.85,100,50,0.301094246381927,0.00705965407695
0.85,100,51,0.305263157894737,0.007017543859649
0.85,100,52,0.309382629926753,0.006975933031043
0.85,100,53,0.313453536754508,0.006934812760055
0.85,100,54,0.317476732161324,0.006894174422613
0.85,100,55,0.32145305003427,0.006854009595613
0.85,100,56,0.325383304940375,0.006814310051107
0.85,100,57,0.329268292682927,0.006775067750678
0.85,100,58,0.333108790838666,0.006736274840013
0.85,100,59,0.336905559276624,0.00669792364367
0.85,100,60,0.340659340659341,0.006660006660007
0.85,100,61,0.344370860927153,0.006622516556291
0.85,100,62,0.348040829766217,0.006585446163978
0.85,100,63,0.351669941060904,0.006548788474132
0.85,100,64,0.355258873331163,0.006512536633019
0.85,100,65,0.358808290155441,0.006476683937824
0.85,100,66,0.36231884057971,0.006441223832528
0.85,100,67,0.365791159513133,0.006406149903908
0.85,100,68,0.369225868110864,0.006371455877668
0.85,100,69,0.372623574144487,0.006337135614702
0.85,100,70,0.375984872360542,0.006303183107469
0.85,100,71,0.379310344827586,0.006269592476489
0.85,100,72,0.382600561272217,0.006236357966947
0.85,100,73,0.385856079404467,0.006203473945409
0.85,100,74,0.389077445232953,0.006170934896637
0.85,100,75,0.392265193370166,0.006138735420503
0.85,100,76,0.395419847328245,0.006106870229008
0.85,100,77,0.39854191980559,0.006075334143378
0.85,100,78,0.401631912964642,0.006044122091266
0.85,100,79,0.404690318701143,0.006013229104029
0.85,100,80,0.407717618905175,0.005982650314089
0.85,100,81,0.410714285714286,0.005952380952381
0.85,100,82,0.413680781758958,0.005922416345869
0.85,100,83,0.416617560400707,0.005892751915144
0.85,100,84,0.419525065963061,0.00586338317209
0.85,100,85,0.422403733955659,0.00583430571762
0.85,100,86,0.425253991291727,0.005805515239478
0.85,100,87,0.428076256499133,0.00577700751011
0.85,100,88,0.430870939925266,0.005748778384593
0.85,100,89,0.433638443935927,0.005720823798627
0.85,100,90,0.436379163108454,0.005693139766581
0.85,100,91,0.439093484419263,0.005665722379603
0.85,100,92,0.441781787425994,0.005638567803778
0.85,100,93,0.444444444444444,0.005611672278339
0.85,100,94,0.447081820720469,0.005585032113935
0.85,100,95,0.449694274596998,0.005558643690939
0.85,100,96,0.452282157676348,0.005532503457815
0.85,100,97,0.454845814977973,0.005506607929515
0.85,100,98,0.457385585091806,0.005480953685941
0.85,100,99,0.459901800327332,0.005455537370431
0.85,100,100,0.462394786858539,0.005430355688298
