p_val,puntaje_ultimo,largo_cadena
0.85,0.24015638089919,0
0.85,0.175973972000902,1
0.85,0.134571470785099,2
0.85,0.105993876726914,3
0.85,0.085334694156701,4
0.85,0.069894617794819,5
0.85,0.058065233978192,6
0.85,0.048828171749696,7
0.85,0.041507142602956,8
0.85,0.035635452329453,9
0.85,0.030880755957522,10
0.85,0.027000127871945,11
0.85,0.023812083586723,12
0.85,0.021178523017606,13
0.85,0.018992710965722,14
0.85,0.017171056893181,15
0.85,0.015647357092804,16
0.85,0.014368674938646,17
0.85,0.013292336560146,18
0.85,0.012383702195023,19
0.85,0.011614487374364,20
0.85,0.010961480725959,21
0.85,0.010405552504866,22
0.85,0.009930879400808,23
0.85,0.009524332437363,24
0.85,0.009174989400429,25
0.85,0.00887374344396,26
0.85,0.008612986753919,27
0.85,0.008386353345448,28
0.85,0.008188508846378,29
0.85,0.008014977902531,30
0.85,0.007862001913316,31
0.85,0.0077264213681,32
0.85,0.007605578243372,33
0.85,0.007497234835691,34
0.85,0.007399506116024,35
0.85,0.007310803247806,36
0.85,0.007229786350904,37
0.85,0.007155324943803,38
0.85,0.007086464776985,39
0.85,0.007022399996902,40
0.85,0.006962449763609,41
0.85,0.006906038594925,42
0.85,0.00685267983268,43
0.85,0.006801961727483,44
0.85,0.00675353572177,45
0.85,0.006707106579774,46
0.85,0.006662424070336,47
0.85,0.006619275956045,48
0.85,0.006577482081914,49
0.85,0.006536889389939,50
0.85,0.006497367713599,51
0.85,0.006458806229604,52
0.85,0.006421110463629,53
0.85,0.006384199763145,54
0.85,0.006348062387162,55
0.85,0.006303606264035,56
0.85,0.006270099841959,57
0.85,0.006236934970954,58
0.85,0.006204108298692,59
0.85,0.006171616236762,60
0.85,0.006139455012604,61
0.85,0.00610762071299,62
0.85,0.006076109320373,63
0.85,0.006044916743229,64
0.85,0.006014038841337,65
0.85,0.005983471446786,66
0.85,0.005953210381404,67
0.85,0.005923251471146,68
0.85,0.005893590557949,69
0.85,0.005864223509443,70
0.85,0.005835146226858,71
0.85,0.005806354651428,72
0.85,0.005777844769519,73
0.85,0.005749612616697,74
0.85,0.005721654280903,75
0.85,0.005693965904885,76
0.85,0.005666543688002,77
0.85,0.005639383887517,78
0.85,0.005612482819447,79
0.85,0.005585836859066,80
0.85,0.005559442441103,81
0.85,0.005533296059697,82
0.85,0.005507394268153,83
0.85,0.005481733678531,84
0.85,0.005456310961104,85
0.85,0.005431122843706,86
0.85,0.005406166110998,87
0.85,0.005381437603664,88
0.85,0.005356934217553,89
0.85,0.005332652902785,90
0.85,0.005308590662829,91
0.85,0.005284744553558,92
0.85,0.005261111682287,93
0.85,0.00523768920682,94
0.85,0.005214474334476,95
0.85,0.00519146432113,96
0.85,0.005168656470259,97
0.85,0.00514604813199,98
0.85,0.005000250045756,99
